;L, μμ;vt18u,nacro2,200,2000.csv;Result;fail;Predict
338;1140,0;450,168;442,76681438047603;54,777548574648435;449,96788949670105
339;1143,3333333333333;455,328;442,8417601278494;155,90618614488287;450,0286489730392
340;1146,6666666666667;453,624;442,9167058752228;114,64614747448849;450,0894084493774
341;1150,0;477,648;442,9916516225962;1201,0624828559821;450,15016792571555
342;1153,3333333333333;477,624;443,06659736996954;1194,2140765340375;450,2109274020537
343;1156,6666666666667;466,536;443,14154311734296;547,3006128344992;450,27168687839185
344;1160,0;477,096;443,2164888647163;1147,8212747658108;450,33244635473005
345;1163,3333333333333;477,864;443,2914346120897;1195,2622775013324;450,3932058310682
346;1166,6666666666667;468,696;443,3663803594631;641,5896311342736;450,45396530740635
347;1170,0;465,84;443,44132610683647;501,70059217228436;450,51472478374455
348;1173,3333333333333;462,9359999999999;443,51627185420983;377,12584125639177;450,5754842600827
349;1176,6666666666667;460,296;443,59121760158325;279,04975497845373;450,63624373642085
350;1180,0;460,824;443,6661633489566;294,3913585438881;450,69700321275906
351;1183,3333333333333;459,144;443,74110909633;237,24904819036087;450,7577626890972
352;1186,6666666666667;465,168;443,8160548437034;455,9055619574982;450,81852216543535
353;1190,0;468,624;443,89100059107676;611,7212597617985;450,87928164177356
354;1193,3333333333333;471,072;443,9659463384502;734,7381451028185;450,9400411181117
355;1196,6666666666667;469,344;444,04089208582354;640,2472701164589;451,00080059444986
356;1200,0;472,848;444,1158378331969;825,5371427794718;451,061560070788
357;1203,3333333333333;469,656;444,1907835805703;648,477247288391;451,1223195471262
358;1206,6666666666667;468,576;444,2657293279437;590,9892601486423;451,18307902346436
359;1210,0;467,184;444,34067507531705;521,8174936146424;451,2438384998025
360;1213,3333333333333;465,336;444,41562082269047;437,6622649224067;451,3045979761407
361;1216,6666666666667;461,784;444,49056657006383;299,06283979563347;451,36535745247886
362;1220,0;463,656;444,5655123174372;364,4467199580823;451,426116928817
363;1223,3333333333333;464,688;444,6404580648106;401,90393764317645;451,48687640515516
364;1226,6666666666667;461,04;444,715403812184;266,49244069525804;451,54763588149336
365;1230,0;464,088;444,7903495595574;372,3993125215154;451,6083953578315
366;1233,3333333333333;464,256;444,86529530693076;375,9994284938163;451,66915483416966
367;1236,6666666666667;464,784;444,9402410543041;393,7747690948848;451,72991431050787
368;1240,0;465,9359999999999;445,01518680167754;437,6804248790998;451,790673786846
369;1243,3333333333333;469,44;445,0901325490509;592,91604487879;451,85143326318416
370;1246,6666666666667;470,64;445,16507829642427;648,9716358033131;451,91219273952237
